,TEAM,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Attend./G,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,opp_G,opp_MP,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,opp_PTS
10,MIN_2014,26.3,40.0,42.0,48,34,2.67,0.43,3.1,108.9,106.2,2.7,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,14565,82,19855,40.5,90.2,0.449,10.2,27.3,0.372,30.4,63.0,0.482,17.0,22.4,0.761,11.7,32.6,44.3,22.0,8.5,4.9,14.2,24.3,108.3,82,19880,39.2,85.7,0.457,9.2,25.4,0.362,30.0,60.3,0.497,18.2,24.2,0.75,11.7,32.0,43.8,23.2,8.8,3.4,18.1,22.2,105.8
11,DAL_2014,30.6,49.0,33.0,48,34,2.4,0.5,2.91,111.2,108.7,2.5,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,19951,82,19830,40.7,88.1,0.462,9.7,25.6,0.38,31.0,62.5,0.496,16.4,21.8,0.753,11.3,35.5,46.7,24.0,8.1,5.1,15.7,22.4,107.5,82,19855,41.2,87.5,0.471,8.2,22.6,0.364,33.0,64.9,0.508,15.5,20.4,0.756,11.3,33.7,45.0,23.3,8.0,5.7,16.7,24.0,106.2
12,CHI_2014,28.6,48.0,34.0,47,35,1.85,-0.66,1.2,102.5,100.5,2.0,90.2,0.29,0.222,0.518,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,21716,82,19855,40.7,88.7,0.459,6.4,17.1,0.373,34.3,71.6,0.479,19.5,25.4,0.769,12.2,32.6,44.8,22.9,8.5,6.9,14.8,24.4,107.2,82,19830,40.2,90.7,0.443,8.4,23.7,0.353,31.8,67.0,0.475,17.5,23.2,0.757,12.3,30.7,42.9,22.9,8.8,5.8,14.4,25.0,106.3
13,MEM_2014,28.5,50.0,32.0,46,36,1.57,0.61,2.18,106.3,104.6,1.7,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,16718,82,19880,38.7,84.4,0.459,9.4,25.4,0.369,29.3,59.0,0.497,19.9,26.4,0.753,9.5,31.8,41.3,22.6,9.3,4.1,15.7,23.5,106.7,82,19830,40.5,87.5,0.462,8.4,22.9,0.365,32.1,64.6,0.497,17.2,22.9,0.748,11.3,34.4,45.7,24.3,8.6,4.5,15.9,21.0,106.4
14,WAS_2014,26.3,44.0,38.0,45,37,1.27,-0.79,0.48,106.0,104.6,1.4,93.2,0.248,0.246,0.538,0.506,13.6,25.2,0.181,0.504,15.0,75.7,0.22,17026,82,19805,42.1,90.7,0.464,5.5,15.5,0.353,36.6,75.2,0.487,16.7,22.5,0.741,12.8,34.1,46.9,24.2,8.5,5.1,15.2,21.1,106.3,82,19755,39.6,86.8,0.456,7.1,20.7,0.341,32.5,66.1,0.492,20.6,26.8,0.766,11.7,32.8,44.6,21.1,7.8,4.2,16.0,22.2,106.7
15,CHA_2014,25.5,43.0,39.0,40,42,-0.22,-0.67,-0.89,103.6,103.8,-0.2,92.4,0.297,0.219,0.522,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,15519,82,20055,40.8,88.8,0.459,8.3,21.9,0.38,32.5,67.0,0.485,16.1,22.0,0.731,11.4,33.0,44.4,24.5,8.6,4.8,15.5,21.5,106.0,82,19855,41.4,91.8,0.451,6.8,19.2,0.355,34.6,72.6,0.476,17.8,23.2,0.766,12.0,33.4,45.4,21.3,8.1,3.9,12.6,21.6,107.4
16,ATL_2014,27.5,38.0,44.0,40,42,-0.48,-0.4,-0.88,105.9,106.4,-0.5,94.6,0.266,0.316,0.554,0.515,14.3,21.0,0.208,0.51,14.0,74.4,0.196,14231,82,19755,39.0,87.2,0.447,8.7,24.3,0.358,30.3,63.0,0.481,19.4,26.7,0.726,12.5,33.7,46.2,22.8,7.6,5.7,16.2,23.4,106.0,82,19955,40.2,88.1,0.456,8.5,22.8,0.371,31.7,65.3,0.485,18.6,24.2,0.77,11.0,35.3,46.3,23.7,7.5,5.7,14.7,19.3,107.4
17,NYK_2014,28.3,37.0,45.0,39,43,-0.79,-0.61,-1.4,108.3,109.1,-0.8,90.3,0.248,0.302,0.541,0.505,12.5,25.1,0.189,0.514,14.0,74.3,0.245,19812,82,19780,40.7,91.1,0.447,6.5,20.2,0.321,34.2,70.9,0.483,18.1,27.0,0.67,15.3,32.3,47.6,21.9,8.8,5.0,15.2,21.3,105.9,82,19730,40.4,87.0,0.465,7.0,20.2,0.347,33.4,66.8,0.5,19.8,26.0,0.761,11.4,33.8,45.2,23.6,7.9,4.9,15.2,20.4,107.7
18,BRK_2014,30.0,44.0,38.0,38,44,-1.0,-0.58,-1.58,106.7,107.7,-1.0,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,17252,82,19830,39.1,85.5,0.458,9.8,27.1,0.363,29.3,58.5,0.502,17.8,22.8,0.781,9.1,32.8,41.9,26.1,8.7,4.2,16.0,20.2,105.9,82,19880,39.3,86.0,0.458,8.7,23.8,0.367,30.6,62.2,0.492,20.3,26.7,0.76,12.2,34.2,46.4,22.7,8.0,4.4,17.1,22.5,107.7
19,DEN_2014,26.0,36.0,46.0,35,47,-2.15,0.75,-1.4,106.0,108.2,-2.2,98.1,0.306,0.278,0.536,0.497,14.0,27.5,0.222,0.5,12.8,74.5,0.233,16900,82,19830,38.8,86.8,0.447,6.3,18.9,0.333,32.5,67.9,0.479,21.8,28.7,0.759,12.7,34.1,46.8,19.8,7.5,4.1,16.0,23.7,105.7,82,19930,40.1,88.6,0.452,9.9,26.9,0.367,30.2,61.6,0.49,17.7,23.3,0.757,10.9,34.3,45.1,26.3,7.6,6.0,14.8,20.7,107.7
20,NOP_2014,24.3,34.0,48.0,33,49,-2.71,0.73,-1.98,107.2,110.1,-2.9,92.2,0.286,0.193,0.537,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,16391,82,19705,38.7,86.2,0.45,9.6,25.1,0.381,29.2,61.1,0.478,17.2,22.6,0.757,9.2,32.3,41.5,24.8,7.5,5.5,15.3,20.1,104.2,82,19755,40.1,87.8,0.457,7.5,21.4,0.351,32.6,66.4,0.491,20.5,26.9,0.763,11.5,33.0,44.5,22.8,8.6,5.7,14.6,22.0,108.2
21,SAC_2014,24.9,28.0,54.0,33,49,-2.9,0.82,-2.08,105.7,108.8,-3.1,94.4,0.331,0.218,0.532,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,16291,82,19930,39.3,90.0,0.437,7.6,21.2,0.356,31.7,68.7,0.461,18.1,24.1,0.751,12.8,34.0,46.8,22.5,7.5,3.9,15.0,21.2,104.2,82,19830,40.1,86.3,0.464,8.8,24.4,0.359,31.3,61.9,0.505,19.8,26.1,0.758,12.2,33.2,45.4,23.4,8.2,3.7,17.0,21.1,108.7
22,CLE_2014,24.9,33.0,49.0,32,50,-3.29,-0.57,-3.86,104.2,107.7,-3.5,93.1,0.268,0.236,0.518,0.479,13.0,27.2,0.201,0.508,13.0,75.8,0.199,17330,82,19780,38.7,86.2,0.449,7.2,20.2,0.357,31.5,66.0,0.477,19.5,25.0,0.779,10.9,37.1,48.1,21.7,7.2,5.9,16.2,22.0,104.1,82,19830,39.8,86.4,0.461,8.9,23.5,0.38,30.9,62.9,0.491,20.2,27.4,0.737,10.4,32.9,43.4,24.7,8.2,5.9,14.3,24.3,108.8
23,DET_2014,24.7,29.0,53.0,31,51,-3.66,-0.48,-4.13,105.9,109.7,-3.8,94.9,0.296,0.222,0.514,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,15025,82,19905,38.8,87.8,0.442,6.7,19.2,0.351,32.1,68.6,0.468,19.2,26.1,0.737,10.1,35.5,45.6,23.2,6.5,5.5,13.2,19.5,103.6,82,19855,39.3,85.7,0.458,9.5,25.7,0.371,29.7,60.0,0.496,21.0,27.5,0.765,11.3,34.8,46.1,21.7,6.9,3.7,16.0,21.6,109.1
24,BOS_2014,25.4,25.0,57.0,28,54,-4.46,-0.51,-4.97,102.9,107.7,-4.8,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,18107,82,19780,39.2,88.3,0.444,7.2,20.9,0.344,32.0,67.4,0.474,17.9,23.9,0.747,12.0,32.9,44.9,22.1,7.6,4.9,15.9,22.6,103.5,82,19780,41.0,87.2,0.47,8.7,23.9,0.365,32.3,63.2,0.51,19.0,25.1,0.756,11.7,33.4,45.1,25.6,8.6,5.2,15.7,21.7,109.7
25,ORL_2014,24.6,23.0,59.0,26,56,-5.44,-0.44,-5.88,101.7,107.4,-5.7,93.6,0.253,0.235,0.525,0.487,13.9,22.4,0.193,0.504,13.0,75.5,0.211,16245,82,19880,38.8,88.6,0.438,7.2,20.4,0.353,31.6,68.2,0.464,18.1,24.2,0.747,12.8,31.6,44.3,23.2,7.1,5.3,16.3,22.5,103.0,82,19855,40.0,85.0,0.471,9.0,24.4,0.37,31.0,60.7,0.511,20.8,27.6,0.754,11.9,35.0,46.9,26.1,9.0,6.8,17.0,20.6,109.9
26,LAL_2014,26.8,27.0,55.0,25,57,-6.29,0.96,-5.33,104.2,110.6,-6.4,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71.0,0.192,18829,82,19730,39.1,89.7,0.435,7.5,22.5,0.333,31.6,67.2,0.47,17.3,22.2,0.777,12.8,32.7,45.4,22.5,7.6,4.5,16.4,22.7,102.9,82,19855,40.1,86.1,0.465,8.6,24.0,0.357,31.5,62.2,0.507,21.5,28.5,0.752,11.6,33.3,44.8,24.2,7.6,6.6,15.5,21.8,110.1
27,UTA_2014,24.5,25.0,57.0,22,60,-7.17,0.91,-6.27,103.5,111.3,-7.8,91.4,0.271,0.237,0.523,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,18176,82,19930,38.0,87.8,0.432,6.8,19.5,0.348,31.2,68.3,0.456,19.8,25.5,0.779,12.5,35.8,48.3,24.8,7.9,5.7,16.3,20.9,102.5,82,19705,42.5,90.7,0.468,8.2,22.7,0.361,34.2,68.0,0.504,17.4,24.0,0.727,13.2,36.4,49.6,26.1,9.8,4.8,14.4,19.5,110.6
28,MIL_2014,24.7,15.0,67.0,20,62,-8.18,-0.23,-8.41,103.0,111.8,-8.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,13465,82,19955,38.8,87.1,0.445,7.2,20.5,0.353,31.6,66.6,0.474,16.8,22.0,0.763,10.2,34.1,44.3,22.2,8.1,4.5,15.7,21.6,101.7,82,19780,41.7,88.2,0.473,8.0,21.1,0.376,33.7,67.0,0.503,20.0,25.8,0.773,11.2,35.1,46.3,23.7,8.2,5.3,13.7,22.2,111.3
29,PHI_2014,23.4,19.0,63.0,16,66,-10.45,-0.21,-10.66,99.4,109.9,-10.5,99.2,0.268,0.258,0.51,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,13869,82,19855,37.9,87.2,0.435,7.0,22.5,0.312,30.9,64.6,0.477,16.6,23.4,0.71,11.6,31.2,42.7,21.8,9.3,4.0,16.9,22.5,99.4,82,19880,41.4,88.4,0.468,9.2,24.0,0.382,32.2,64.4,0.5,19.9,26.5,0.751,12.6,34.3,46.9,24.6,8.4,5.4,15.2,22.2,111.8
